URL du titre,Titre de la chanson,Titre de l'album,Nom de l'artiste
https://music.youtube.com/watch?v=WQb1Nxg8ee8,Meltdown Freestyle,Meltdown Freestyle,Nextale Nailze
https://music.youtube.com/watch?v=oL98gl1iea0,Moonligt Sonata,Clasicos Fantásticos Vol 5,Orquesta Filarmonica de Croacia
https://music.youtube.com/watch?v=o6FoNpqoI5o,Nilin the Memory Hunter,Remember Me (feat. Philharmonia Orchestra) [Original Soundtrack],Olivier Deriviere
https://music.youtube.com/watch?v=7S7C6zmvgwI,Old Friends,Transistor Original Soundtrack,Darren Korb
https://music.youtube.com/watch?v=NI4J-J30GaI,One Last Time,My Everything,Ariana Grande
https://music.youtube.com/watch?v=CHXNxOzvLWQ,Only 1,Only 1,The Aston Shuffle
https://music.youtube.com/watch?v=6jUOtOpbCw0,Out of Darkness(Prologue),DEVIL MAY CRY 4 SPECIAL SOUNDTRACK,AUBREY ASHBURN
https://music.youtube.com/watch?v=A3gfRqHHG2A,Part of Your World,Ultimate Disney Princess,Jodi Benson
https://music.youtube.com/watch?v=Kj5ZemCTiVs,Passion,Passion,Utada Hikaru
https://music.youtube.com/watch?v=0rjMTT4P620,Payphone,Overexposed,Maroon 5
https://music.youtube.com/watch?v=RK8e4JQgPfo,Pixel Galaxy,Pixel Galaxy,Snail's House
https://music.youtube.com/watch?v=sfC16mpc4Qo,PLASTIC,Plastic,sakehands
https://music.youtube.com/watch?v=RI6RKCCyiTE,"Prologue ""We Push..""",Battlefield 1 (Original Soundtrack),"Johan Söderqvist, Patrik Andrén"
https://music.youtube.com/watch?v=Y54rf5FfO90,Protectors of the Earth,Invincible,Two Steps from Hell
https://music.youtube.com/watch?v=dHdMAdh4Xgc,Rather Be,New Eyes,Clean Bandit
https://music.youtube.com/watch?v=8046bq4q1pY,Sea Of Voices,Worlds,Porter Robinson
https://music.youtube.com/watch?v=NRQQYHbp0as,See Ya...,See Ya...,Chinsaku
https://music.youtube.com/watch?v=WS1IGWLatVk,Serenade,Clasicos Fantásticos Vol 4,Orquesta Sinfonica de Ucrania
https://music.youtube.com/watch?v=xTvyyoF_LZY,Shape of You,Shape of You,Ed Sheeran
https://music.youtube.com/watch?v=efc70jiscLg,Skyfall,Skyfall,Adele
https://music.youtube.com/watch?v=vHNj1_YzQbo,Sober,Revival (Deluxe),Selena Gomez
https://music.youtube.com/watch?v=1yqDXybpNH0,Someone That You Love,Someone That You Love,Jarreau Vandal
https://music.youtube.com/watch?v=owTWCbq_nSk,Something Just Like This,Something Just Like This,"The Chainsmokers, Coldplay"
https://music.youtube.com/watch?v=a909uxd3GWg,Stay The Night,Clarity (Deluxe),Zedd
https://music.youtube.com/watch?v=-SttFgyRNCI,Symphony,What Is Love? (Deluxe Edition),Clean Bandit
https://music.youtube.com/watch?v=T83vkwePnc8,Symphony,Symphony,Clean Bandit
https://music.youtube.com/watch?v=pY6Rlu0SZRc,Take a Bow,Good Girl Gone Bad: Reloaded,Rihanna
https://music.youtube.com/watch?v=JucvYrdSIcM,That's What I Like,24K Magic,Bruno Mars
https://music.youtube.com/watch?v=QtxeJ703w18,The Avengers,Avengers [2012 Score],Alan Silvestri
https://music.youtube.com/watch?v=FVlZEikW2Nw,The Book Of Love,Scratch My Back,Peter Gabriel
https://music.youtube.com/watch?v=AOR3LOvQQhM,The Last City,Destiny 2 (Original Soundtrack),"Michael Salvatori, Skye Lewin, C Paul Johnson, Rotem Moav & Pieter Schlosser"
https://music.youtube.com/watch?v=Y2UOwvUQ8L0,The Last of Us,The Last of Us,Gustavo Santaolalla
https://music.youtube.com/watch?v=YwnG75oYSL8,The Man Who Sold the World,If I Was,Midge Ure
https://music.youtube.com/watch?v=jgyShFzdB_Q,Time,Inception (Music From The Motion Picture),Hans Zimmer
https://music.youtube.com/watch?v=IJGvWY0iysY,Time Adventure,Adventure Time: Come Along with Me (Original Soundtrack),Adventure Time
https://music.youtube.com/watch?v=76MzffeghMY,Two Beavers Are Better Than One,"How I Met Your Music (Original Songs from the Hit Series ""How I Met Your Mother"")","Cobie Smulders, Kamille Rudisill"
https://music.youtube.com/watch?v=Qu-TXqSoJLQ,Victory and Death,Star Wars: The Clone Wars - The Final Season (Episodes 9-12) (Original Soundtrack),Kevin Kiner
https://music.youtube.com/watch?v=3a-q7vPa-UU,Viva La Vida,Viva La Vida (Prospekt's March Edition),Coldplay
https://music.youtube.com/watch?v=iR1sAex__VA,Waiting For Love,Stories,Avicii
https://music.youtube.com/watch?v=3mzXxsvnwMc,Warp Star,Warp Star,Snail's House
https://music.youtube.com/watch?v=YLuP3Z7ikfk,We Don't Talk Anymore,Nine Track Mind (Deluxe Edition),Charlie Puth
https://music.youtube.com/watch?v=4pzxfgzhOvE,Zanarkand (Final Fantasy X),Distant Worlds II: More Music from Final Fantasy,Nobuo Uematsu
