ID de la playlist,ID des chaînes,Date et heure de création,Date et heure de mise à jour,Titre,Description,Visibilité
PLy0L-A3Ggd6uXCKeS6lxN_FdJhCZtr1BC,UCRdDMa9ryNyZhMIxQPhR1tA,2016-07-29 19:53:56 UTC,2021-09-25 17:32:56 UTC,Watch later,,Personnel

ID vidéo,Date et heure d'ajout
8DvywoWv6fI,2021-02-07 20:56:26 UTC
HGOBQPFzWKo,2021-02-07 20:56:03 UTC
eIrMbAQSU34,2021-02-07 20:55:03 UTC
uhxtUt_-GyM,2021-02-07 20:54:46 UTC
xxpc-HPKN28,2021-02-07 20:54:18 UTC
 -OG6oGiJwZI,2021-02-07 20:54:06 UTC
rwxvWStmw6U,2021-02-05 16:11:04 UTC
_f1sn7Ta4M4,2021-02-03 19:57:52 UTC
G0XIn9XPUmg,2021-02-03 15:13:38 UTC
EGs5kYYw6d8,2021-02-02 22:49:15 UTC
gAuQJwMF9yI,2021-01-29 23:59:17 UTC
wyv4ZFInGsQ,2021-01-29 23:48:20 UTC
nop9ZVmnA3A,2021-01-29 15:34:23 UTC
qtKIoowSvmg,2021-01-29 09:00:34 UTC
4og1Wu1t_Zw,2021-01-28 22:50:36 UTC
B31LgI4Y4DQ,2021-01-28 16:17:16 UTC
gcrJKel_8Oc,2021-01-25 09:04:03 UTC
GuHc85o17gc,2021-01-21 17:29:40 UTC
x_1WHMgKGwQ,2021-01-17 22:14:03 UTC
hUdcurtyY4A,2021-01-16 11:59:38 UTC
dalD7_hSXeM,2021-01-16 11:59:33 UTC
1EEakkh4ZG4,2021-01-15 23:17:30 UTC
Pspuv6MmBwI,2021-01-15 21:16:57 UTC
9nq61Jx8l_8,2021-01-15 21:14:57 UTC
7J_qcttfnJA,2021-01-14 20:56:38 UTC
_6MKOa-NfkQ,2021-01-11 20:12:37 UTC
fRWAPcOvU20,2021-01-10 22:58:22 UTC
gAKwkzVL0-s,2021-01-10 22:58:07 UTC
PYRCSUnncEA,2021-01-10 17:15:53 UTC
8-WZtzaM6QM,2021-01-09 06:52:17 UTC
Vw70eirtzaI,2021-01-09 06:52:09 UTC
kiRl6zMFqxs,2021-01-09 06:51:31 UTC
OSx7bqkcLV8,2021-01-09 06:51:20 UTC
E3U-xKqZg6g,2021-01-09 06:49:55 UTC
hxFEmuxKKCw,2021-01-09 06:49:38 UTC
u3Ia3X2iZJc,2021-01-09 06:48:50 UTC
ILK2dXufEaY,2021-01-08 21:16:21 UTC
5AAne2fpZyg,2021-01-08 21:16:09 UTC
ZfgNiVjKAzc,2021-01-08 21:15:52 UTC
uRiNlt4vJYQ,2021-01-07 07:51:05 UTC
cr6P_m7zufE,2021-01-07 00:40:00 UTC
G5wCWASGXJM,2021-01-06 18:58:54 UTC
sgB2yuDD140,2021-01-06 09:19:07 UTC
eU1Bb_nF7ck,2021-01-05 18:47:57 UTC
k9JAr2WmuYk,2021-01-01 20:56:14 UTC
BflNGAKDgow,2020-12-31 15:24:55 UTC
67H8chegtek,2020-12-30 23:53:38 UTC
E-jGEtqB4wU,2020-12-29 23:11:05 UTC
2Mzwe3WBqHI,2020-12-26 21:57:16 UTC
DI7FN5AM_7A,2020-12-26 21:57:05 UTC
oFIz0FOO1i0,2020-12-26 21:35:43 UTC
3qh5AejclyU,2020-12-24 00:41:42 UTC
masIatbSwjc,2020-12-21 12:32:40 UTC
YSm9DDxQv8E,2020-12-19 17:03:09 UTC
eSneA4ZNPhg,2020-12-19 17:02:50 UTC
XEpZere_01A,2020-12-18 22:23:04 UTC
2GiWQE5DP-o,2020-12-18 18:18:27 UTC
0o7UlO5VShQ,2020-12-18 18:18:22 UTC
ePDiQ1uTrWI,2020-12-16 09:02:28 UTC
dTP65CsyUP0,2020-12-16 08:53:06 UTC
hfWkqkX6BdE,2020-12-15 17:35:36 UTC
aDWgr7YEdTA,2020-12-15 17:35:09 UTC
bRJbu32df-Y,2020-12-14 22:08:08 UTC
7vF6VG6-4-k,2020-12-14 19:31:34 UTC
UdfSrJvqY_E,2020-12-10 18:06:09 UTC
TSBDWiCRce0,2020-12-10 12:34:00 UTC
zi3qU_EIM9A,2020-12-09 19:20:18 UTC
HJKeBbk-9YA,2020-12-09 17:46:23 UTC
KcGZiQulzYY,2020-12-09 13:31:18 UTC
rbB2ji3l7DM,2020-12-08 20:32:52 UTC
NuNvCOUy1Ts,2020-12-08 14:57:01 UTC
dkWjvAc0jLQ,2020-12-08 12:30:34 UTC
5JSIyrVONmM,2020-12-06 17:33:01 UTC
sDJXdYeeB44,2020-12-05 07:29:28 UTC
qrmmfvDlDto,2020-12-05 07:28:58 UTC
e2Wm5tuTllk,2020-12-04 22:15:47 UTC
_6TMYSQpwwc,2020-12-03 21:02:29 UTC
meKsqiAktJA,2020-12-03 21:02:27 UTC
zjob6hxuOIw,2020-12-03 17:42:34 UTC
iwQ4XQRvVko,2020-12-01 22:42:17 UTC
F5W04enL-OY,2020-12-01 10:30:02 UTC
iFRYRow5GSg,2020-12-01 06:10:49 UTC
aB-uzhbrGWE,2020-11-30 22:03:34 UTC
8VtHIEx3lUw,2020-11-30 20:04:41 UTC
1GKIljj7LTw,2020-11-29 16:41:58 UTC
b4xm6wD3lfw,2020-11-27 16:40:05 UTC
97TTEHzIOLg,2020-11-25 17:31:10 UTC
H0wczAF4Jq8,2020-11-22 19:28:13 UTC
60De2fxBeuQ,2020-11-22 19:27:51 UTC
TcDN8H6AL0E,2020-11-22 13:50:03 UTC
5v0yhXqiWdc,2020-11-21 18:54:42 UTC
TdkzfRUhPU0,2020-11-20 18:05:27 UTC
3RZVXlU0pNA,2020-11-19 12:24:43 UTC
_OMUWsW2K58,2020-11-18 17:05:05 UTC
kAv-ajC1bWg,2020-11-18 09:11:33 UTC
3cYH-mAkvyk,2020-11-17 22:34:40 UTC
CfibWtIqA-g,2020-11-17 18:39:06 UTC
6AwNWzcQxoM,2020-11-17 18:37:52 UTC
ZiwA0ebw11k,2020-11-16 20:07:39 UTC
bpbjSmZx3m4,2020-11-16 18:53:11 UTC
YldClYhUzbU,2020-11-15 14:25:13 UTC
o5jwr4NfpD0,2020-11-15 01:39:23 UTC
5VFrbD1mhac,2020-11-13 08:35:20 UTC
l7ROfxwI-qE,2020-11-12 16:50:39 UTC
j9BulZpj0Zk,2020-11-12 16:48:46 UTC
rHIvs0Q-uKI,2020-11-08 18:21:25 UTC
_W8cOkS5MhI,2020-11-08 18:20:23 UTC
BXBgzyFCSCs,2020-11-06 13:32:33 UTC
bKQ6NeTjccA,2020-11-06 13:31:27 UTC
TytBA4N9Ltk,2020-11-05 20:41:03 UTC
JhOU3FOyApM,2020-11-05 09:23:34 UTC
OKJPowUpQAg,2020-11-01 23:24:11 UTC
OXZ_N3owWhk,2020-10-31 13:25:51 UTC
xGUJtTbblgw,2020-10-30 18:23:48 UTC
BM9TrKki2X4,2020-10-29 08:56:55 UTC
i_wePORr_Rc,2020-10-27 13:54:10 UTC
fQ9Dv6xuCmY,2020-10-24 16:56:09 UTC
IOP-7e_GxIw,2020-10-24 16:25:00 UTC
dVXy6hmE_0U,2020-10-22 06:45:20 UTC
nDy32xoXM4o,2020-10-21 13:56:33 UTC
0FnX1ufiMzM,2020-10-21 13:56:10 UTC
1zZZBB9-Nm8,2020-10-17 19:39:33 UTC
R_JQzZeNGao,2020-10-16 21:33:46 UTC
i1dGQiNfCAc,2020-10-15 19:33:48 UTC
Xi2XPH5MgVE,2020-10-13 19:41:13 UTC
SMw8kySAXkw,2020-10-11 18:48:06 UTC
npw7jh5MnRw,2020-10-10 05:26:30 UTC
bmRxZz_Cw0E,2020-10-09 20:32:23 UTC
9t-5tEsLaA4,2020-10-09 18:31:46 UTC
CKgoFPVj1TI,2020-10-08 22:13:53 UTC
XDNy90IHk5A,2020-10-08 22:13:49 UTC
kXTz8CHBdCg,2020-10-08 22:13:32 UTC
ExwtgMtovyY,2020-10-08 19:14:30 UTC
3YK96_qfc-Y,2020-10-07 21:33:39 UTC
wtpUBG1HUM0,2020-10-07 16:34:44 UTC
CJ9CmxaQ3q8,2020-10-05 05:04:14 UTC
jqlbLB7Owl0,2020-10-04 20:40:52 UTC
r9vY7IopsM8,2020-10-02 18:06:25 UTC
pYhDHSRNhmw,2020-10-02 18:04:47 UTC
mhHOpWFNq68,2020-10-02 18:04:42 UTC
g_e7TRMcafQ,2020-10-01 05:29:25 UTC
rdMtOPQLqyE,2020-09-29 21:12:57 UTC
IBcdWhUqS1o,2020-09-28 19:58:47 UTC
1lyUz1w0GXA,2020-09-28 17:23:47 UTC
3ZqZXIrxlFg,2020-09-28 17:21:07 UTC
